label,description,image,timeunit,timevalue,anchor?
Marine Mammals,,,years,30000000,FALSE
Formation of the Himalayas,,,years,50000000,FALSE
KT Extinction,,,years,65000000,FALSE
Formation of the Rocky Mountains,"The Rocky Mountains, also known as the Rockies, are a major mountain range and the largest mountain system in North America. The Rocky Mountains stretch 3,000 miles (4,800 kilometers)[1] in straight-line distance from the northernmost part of western Canada, to New Mexico in the southwestern United States. Depending on differing definitions between Canada and the U.S., its northern terminus is located either in northern British Columbia's Terminal Range south of the Liard River and east of the Trench, or in the northeastern foothills of the Brooks Range/British Mountains that face the Beaufort Sea coasts between the Canning River and the Firth River across the Alaska-Yukon border.",formationoftherockymountains.jpg,years,80000000,TRUE
Flowering Plants,,,years,140000000,FALSE
First Birds,,,years,150000000,FALSE
Opening of the Atlantic,,,years,180000000,FALSE
First Mammals,,,years,220000000,FALSE
P/T Extinction,,,years,250000000,FALSE
Burgess Shale,,,years,505000000,FALSE
Trilobites,,,years,515000000,FALSE
Early Vertebrates,,,years,525000000,FALSE
Snowball Earth,,,years,650000000,FALSE
First Sexual Reproduction,"Sexual reproduction is a type of reproduction that involves a complex life cycle in which a gamete (haploid reproductive cells, such as a sperm or egg cell) with a single set of chromosomes combines with another gamete to produce a zygote that develops into an organism composed of cells with two sets of chromosomes (diploid). This is typical in animals, though the number of chromosome sets and how that number changes in sexual reproduction varies, especially among plants, fungi, and other eukaryotes.",firstsexualreproduction.png,years,900000000,TRUE
Eukaryotes Appear,,,years,1800000000,FALSE
First Diatoms,,,years,2000000000,FALSE
Earliest Major Glaciations,,,years,2200000000,FALSE
Accumulation of Oxygen,,,years,2300000000,FALSE
BIFs,,,years,3000000000,FALSE
Stromatolites,,,years,3300000000,FALSE
Oldest Rock,,,years,4300000000,FALSE
Formation of the Moon,,,years,4450000000,FALSE
Formation of Earth,"The oldest material found in the Solar System is dated to 4.5682 Ga (billion years) ago. By 4.54 Ga the primordial Earth had formed. The bodies in the Solar System formed and evolved with the Sun. In theory, a solar nebula partitions a volume out of a molecular cloud by gravitational collapse, which begins to spin and flatten into a circumstellar disk, and then the planets grow out of that disk with the Sun. A nebula contains gas, ice grains, and dust (including primordial nuclides). According to nebular theory, planetesimals formed by accretion, with the primordial Earth being estimated as likely taking anywhere from 70 to 100 million years to form.",formationoftheearth.jpg,years,4500000000,TRUE
